Datum;Zeit;Terminal;Schlüssel;Kundennummer;EAN;Produkt;Kategorie;Preis;MwSt
2025-04-13;19:14;X;0014252568;442234;1;Essen;Speisen;7.00;19
2025-04-13;19:14;X;0014252568;442234;1;Essen;Speisen;7.00;19
2025-04-13;19:14;X;0014252568;442234;9990000000000;Direktbuchung;Direktbuchung;4.55;19
2025-04-14;19:14;X;0014252568;442234;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-04-14;20:32;X;0011454183;40556;2;Kaffee;Speisen;0.50;19
2025-04-15;20:32;X;0011454183;40556;2;Kaffee;Speisen;0.50;19
2025-04-15;20:32;X;0011454183;40556;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-04-15;20:32;X;0011454183;40556;4463500000000;Gastflug;Flugbetrieb;30.00;19
2025-04-15;20:32;X;0011454183;40556;4463300215004;T-Shirt;Merchendise;15.00;19
2025-04-16;20:32;X;0011454183;40556;5449000017918;"Fanta - 1l";Getränke;2.00;19
2025-04-16;20:33;X;0011454183;40556;1;Essen;Speisen;7.00;19
2025-04-16;21:00;X;0014252568;442234;9990000000000;Direktbuchung;Direktbuchung;5.00;19
2025-04-16;21:00;X;0014252568;442234;90357879;"Cola Zero 0.33l";Getränke;1.10;19
2025-04-16;01:07;X;0014252568;442234;2;Kaffee;Speisen;0.50;19
