Datum;Zeit;Terminal;Schlüssel;Kundennummer;EAN;Produkt;Kategorie;Preis;MwSt
2025-03-29;18:22;A;2258351;40393;4463300210009;ICAO Wettbewerbskarte Mitglied;Merchendise;12.00;19
2025-03-29;18:22;A;2258351;40393;4463300210009;ICAO Wettbewerbskarte Mitglied;Merchendise;12.00;19
2025-03-29;18:22;A;2258351;40393;4463300210009;ICAO Wettbewerbskarte Mitglied;Merchendise;12.00;19
2025-03-30;14:49;A;2258351;40393;1;Essen;Speisen;3.00;19
2025-04-12;13:59;A;2258351;40393;1;Essen;Speisen;5.50;19
2025-04-14;13:32;A;2258351;40393;1;Essen;Speisen;4.50;19
2025-04-05;11:20;A;2999285;40437;2;Kaffee;Speisen;0.50;19
2025-04-05;15:58;A;2999285;40437;87126860;Fanta 0,33l;Getränke;1.10;19
2025-04-05;16:10;A;2999285;40437;2;Kaffee;Speisen;0.50;19
2025-04-05;16:10;A;2999285;40437;2;Kaffee;Speisen;0.50;19
2025-04-05;16:10;A;2999285;40437;2;Kaffee;Speisen;0.50;19
2025-04-05;18:58;A;2999285;40437;3;Kuchen;Speisen;1.00;19
2025-03-29;13:55;A;3037083;424547;1;Essen;Speisen;4.00;19
2025-03-29;13:55;A;3037083;424547;87126853;Coca Cola 0.33l;Getränke;1.10;19
2025-03-30;14:00;A;3037083;424547;87126853;Coca Cola 0.33l;Getränke;1.10;19
2025-03-30;14:00;A;3037083;424547;1;Essen;Speisen;3.00;19
2025-04-06;9:19;A;3037083;424547;2;Kaffee;Speisen;0.50;19
2025-04-06;13:34;A;3037083;424547;1;Essen;Speisen;5.50;19
2025-04-12;11:37;A;3037083;424547;2;Kaffee;Speisen;0.50;19
2025-04-12;13:57;A;3037083;424547;1;Essen;Speisen;5.50;19
2025-04-12;14:20;A;3037083;424547;2;Kaffee;Speisen;0.50;19
2025-04-12;19:52;A;3037083;424547;4002103000013;Erdinger Weißbier 0.5l;Bier;1.50;19
2025-04-14;11:38;A;3037083;424547;50112135;Sprite Zitrone Limette 0.33l;Getränke;1.10;19
2025-04-14;11:38;A;3037083;424547;50112135;Sprite Zitrone Limette 0.33l;Getränke;1.10;19
2025-04-14;13:08;A;3037083;424547;87126853;Coca Cola 0.33l;Getränke;1.10;19
2025-04-14;13:08;A;3037083;424547;87126853;Coca Cola 0.33l;Getränke;1.10;19
2025-04-14;13:09;A;3037083;424547;1;Essen;Speisen;4.50;19
2025-04-14;13:09;A;3037083;424547;1;Essen;Speisen;4.50;19
2025-04-14;13:14;A;3037083;424547;87126853;Coca Cola 0.33l;Getränke;1.10;19
2025-04-14;14:42;A;3037083;424547;87126860;Fanta 0,33l;Getränke;1.10;19
2025-04-14;10:24;A;3046347;40387;4463300210009;ICAO Wettbewerbskarte Mitglied;Merchendise;12.00;19
2025-04-14;14:32;A;3046347;40387;1;Essen;Speisen;4.50;19
