Datum;Zeit;Terminal;Schlüssel;Kundennummer;EAN;Produkt;Kategorie;Preis;MwSt
2025-03-29;11:15;A;9854787;40488;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-03-29;12:18;A;14252568;442234;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-03-29;13:08;A;11454183;40556;1;Essen;Speisen;4.00;19
2025-03-29;13:10;A;9825902;40544;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-03-29;13:13;A;6107633;40524;1;Essen;Speisen;4.00;19
2025-03-29;13:13;A;11050391;351924;1;Essen;Speisen;4.00;19
2025-03-29;13:17;A;16381852;444796;1;Essen;Speisen;4.00;19
2025-03-29;13:18;A;16381852;444796;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-03-29;13:30;A;16526365;68309;2;Kaffee;Speisen;0.50;19
2025-03-29;13:32;A;16233192;40537;1;Essen;Speisen;4.00;19
2025-03-29;13:33;A;9839906;40509;2;Kaffee;Speisen;0.50;19
2025-03-29;13:34;A;11050391;351924;2;Kaffee;Speisen;0.50;19
2025-03-29;13:37;A;9841728;40530;1;Essen;Speisen;4.00;19
2025-03-29;13:38;A;9839906;40509;4014472280132;"Bionade Naturtrüb Blutorange 0.33l";Getränke;1.30;19
2025-03-29;13:38;A;11454183;40556;2;Kaffee;Speisen;0.50;19
2025-03-29;13:38;A;14268305;40513;2;Kaffee;Speisen;0.50;19
2025-03-29;13:52;A;14268305;40513;2;Kaffee;Speisen;0.50;19
2025-03-29;13:54;A;9880987;427746;1;Essen;Speisen;4.00;19
2025-03-29;13:55;A;3037083;424547;1;Essen;Speisen;4.00;19
2025-03-29;13:55;A;3037083;424547;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-03-29;13:55;A;16077912;40396;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-03-29;14:16;A;9854787;40488;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-03-29;14:24;A;16352584;250430;1;Essen;Speisen;4.00;19
2025-03-29;14:55;A;11454183;40556;2;Kaffee;Speisen;0.50;19
2025-03-29;17:07;A;16381852;444796;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-03-29;17:41;A;11454183;40556;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-03-29;17:49;A;9825902;40544;4260386220331;"Fläminger Radler 0,33l";Bier;1.10;19
2025-03-29;18:22;A;2258351;40393;4463300210009;""ICAO Wettbewerbskarte Mitglied"";Merchendise;12.00;19
2025-03-29;18:22;A;2258351;40393;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-03-29;18:22;A;2258351;40393;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-03-29;18:22;A;9839906;40509;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-03-29;18:23;A;13275265;245779;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-03-29;18:26;A;10946978;422870;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-03-29;18:28;A;16522289;40480;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-03-29;18:29;A;16060546;40427;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-03-29;18:31;A;14268305;40513;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-03-29;18:39;A;9854787;40488;4004160005338;Berliner Pilsner 0,5l;Getränke;1.20;19
2025-03-29;18:39;A;16163833;40478;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-03-29;21:42;A;11454183;40556;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-03-29;21:42;A;16352584;250430;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-03-30;09:43;A;16352584;250430;2;Kaffee;Speisen;0.50;19
2025-03-30;09:55;A;16163833;40478;2;Kaffee;Speisen;0.50;19
2025-03-30;09:56;A;16352584;250430;2;Kaffee;Speisen;0.50;19
2025-03-30;10:10;A;16352584;250430;2;Kaffee;Speisen;0.50;19
2025-03-30;10:13;A;16163833;40478;2;Kaffee;Speisen;0.50;19
2025-03-30;11:17;A;11454183;40556;2;Kaffee;Speisen;0.50;19
2025-03-30;13:41;A;16163833;40478;4014472279198;"Bionade Himbeer-Plaume 0.33l";Getränke;1.30;19
2025-03-30;13:59;A;16522289;40480;1;Essen;Speisen;3.00;19
2025-03-30;14:00;A;3037083;424547;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-03-30;14:00;A;3037083;424547;1;Essen;Speisen;3.00;19
2025-03-30;14:02;A;16163833;40478;1;Essen;Speisen;3.00;19
2025-03-30;14:48;A;11454183;40556;1;Essen;Speisen;3.00;19
2025-03-30;14:48;A;11500614;154172;1;Essen;Speisen;3.00;19
2025-03-30;14:49;A;2258351;40393;1;Essen;Speisen;3.00;19
2025-03-30;14:49;A;14404349;40489;1;Essen;Speisen;3.00;19
2025-03-30;14:50;A;14252568;442234;1;Essen;Speisen;3.00;19
2025-03-30;14:51;A;16352584;250430;1;Essen;Speisen;3.00;19
2025-03-30;15:06;A;11500614;154172;2;Kaffee;Speisen;0.50;19
2025-03-30;15:23;A;11454183;40556;2;Kaffee;Speisen;0.50;19
2025-03-30;15:25;A;16163833;40478;2;Kaffee;Speisen;0.50;19
2025-03-30;15:25;A;16163833;40478;2;Kaffee;Speisen;0.50;19
2025-03-30;17:21;A;16352584;250430;4014472279198;"Bionade Himbeer-Plaume 0.33l";Getränke;1.30;19
2025-04-04;19:39;A;9812207;40542;4002103000013;"Erdinger Weißbier 0.5l";Bier;1.50;19
2025-04-04;19:39;A;9812207;40542;4002103000013;"Erdinger Weißbier 0.5l";Bier;1.50;19
2025-04-04;19:39;A;9812207;40542;4002103000013;"Erdinger Weißbier 0.5l";Bier;1.50;19
2025-04-04;19:39;A;9812207;40542;4002103000013;"Erdinger Weißbier 0.5l";Bier;1.50;19
2025-04-04;19:39;A;9812207;40542;4004160005338;Berliner Pilsner 0,5l;Getränke;1.20;19
2025-04-04;19:45;A;16352584;250430;4004160005338;Berliner Pilsner 0,5l;Getränke;1.20;19
2025-04-04;19:46;A;16352584;250430;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-04-04;19:58;A;13275265;245779;4002103019107;Erdinger Alkoholfrei 0.5l;Bier;1.50;19
2025-04-04;20:47;A;16163833;40478;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-04-04;21:05;A;9854787;40488;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-04-04;21:05;A;9854787;40488;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-04-05;08:37;A;16352584;250430;2;Kaffee;Speisen;0.50;19
2025-04-05;08:46;A;16352584;250430;2;Kaffee;Speisen;0.50;19
2025-04-05;08:57;A;16163833;40478;2;Kaffee;Speisen;0.50;19
2025-04-05;08:57;A;16163833;40478;2;Kaffee;Speisen;0.50;19
2025-04-05;08:57;A;16163833;40478;2;Kaffee;Speisen;0.50;19
2025-04-05;09:02;A;16352584;250430;2;Kaffee;Speisen;0.50;19
2025-04-05;09:04;A;9812207;40542;2;Kaffee;Speisen;0.50;19
2025-04-05;09:04;A;9812207;40542;2;Kaffee;Speisen;0.50;19
2025-04-05;09:07;A;16332365;40535;2;Kaffee;Speisen;0.50;19
2025-04-05;09:09;A;7305955;454724;2;Kaffee;Speisen;0.50;19
2025-04-05;09:42;A;16039545;40390;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-04-05;10:44;A;6353759;460336;2;Kaffee;Speisen;0.50;19
2025-04-05;11:18;A;9854787;40488;2;Kaffee;Speisen;0.50;19
2025-04-05;11:20;A;2999285;40437;2;Kaffee;Speisen;0.50;19
2025-04-05;11:20;A;11454183;40556;2;Kaffee;Speisen;0.50;19
2025-04-05;11:20;A;11454183;40556;2;Kaffee;Speisen;0.50;19
2025-04-05;11:20;A;14268305;40513;2;Kaffee;Speisen;0.50;19
2025-04-05;11:21;A;16163833;40478;2;Kaffee;Speisen;0.50;19
2025-04-05;11:39;A;16352584;250430;4013256642722;"Lichtenauer - medium - 0.5l";Wasser;0.85;19
2025-04-05;13:28;A;14252568;442234;1;Essen;Speisen;5.50;19
2025-04-05;13:28;A;16407017;483953;1;Essen;Speisen;5.50;19
2025-04-05;13:33;A;11454183;40556;1;Essen;Speisen;5.50;19
2025-04-05;13:43;A;14252568;442234;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-04-05;13:51;A;10861973;40546;1;Essen;Speisen;5.50;19
2025-04-05;13:52;A;7305955;454724;1;Essen;Speisen;5.50;19
2025-04-05;13:52;A;7305955;454724;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-04-05;13:54;A;9840658;474727;1;Essen;Speisen;5.50;19
2025-04-05;13:54;A;9840658;474727;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-04-05;13:55;A;16246115;268498;1;Essen;Speisen;5.50;19
2025-04-05;14:01;A;10861973;40546;2;Kaffee;Speisen;0.50;19
2025-04-05;14:09;A;13784702;452447;1;Essen;Speisen;5.50;19
2025-04-05;14:11;A;13784702;452447;87126860;"Fanta 0,33l";Getränke;1.10;19
2025-04-05;14:15;A;9840658;474727;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-04-05;14:20;A;6353759;460336;1;Essen;Speisen;5.50;19
2025-04-05;14:21;A;6353759;460336;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-04-05;14:32;A;9880987;427746;1;Essen;Speisen;5.50;19
2025-04-05;14:35;A;16480900;40458;1;Essen;Speisen;5.50;19
2025-04-05;14:35;A;16480900;40458;1;Essen;Speisen;5.50;19
2025-04-05;14:35;A;16480900;40458;1;Essen;Speisen;5.50;19
2025-04-05;14:54;A;16480900;40458;87126860;"Fanta 0,33l";Getränke;1.10;19
2025-04-05;15:00;A;11454183;40556;90357879;"Cola Zero 0.33l";Getränke;1.10;19
2025-04-05;15:13;A;9812207;40542;1;Essen;Speisen;5.50;19
2025-04-05;15:13;A;9812207;40542;1;Essen;Speisen;5.50;19
2025-04-05;15:13;A;9812207;40542;1;Essen;Speisen;5.50;19
2025-04-05;15:56;A;6107633;40524;1;Essen;Speisen;5.50;19
2025-04-05;15:56;A;6107633;40524;1;Essen;Speisen;5.50;19
2025-04-05;15:58;A;2999285;40437;87126860;"Fanta 0,33l";Getränke;1.10;19
2025-04-05;16:10;A;2999285;40437;2;Kaffee;Speisen;0.50;19
2025-04-05;16:10;A;2999285;40437;2;Kaffee;Speisen;0.50;19
2025-04-05;16:10;A;2999285;40437;2;Kaffee;Speisen;0.50;19
2025-04-05;16:27;A;16352584;250430;1;Essen;Speisen;5.50;19
2025-04-05;16:57;A;9854787;40488;4014388001036;"Radeberger Pilsender 0.5l";Bier;1.20;19
2025-04-05;16:57;A;9854787;40488;1;Essen;Speisen;5.50;19
2025-04-05;17:15;A;11454183;40556;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-04-05;17:28;A;16246115;268498;4260386220331;"Fläminger Radler 0,33l";Bier;1.10;19
2025-04-05;17:56;A;16163833;40478;4002103000013;"Erdinger Weißbier 0.5l";Bier;1.50;19
2025-04-05;17:57;A;9854787;40488;4002103000013;"Erdinger Weißbier 0.5l";Bier;1.50;19
2025-04-05;18:07;A;16060546;40427;1;Essen;Speisen;5.50;19
2025-04-05;18:24;A;7305955;454724;2;Kaffee;Speisen;0.50;19
2025-04-05;18:24;A;7305955;454724;2;Kaffee;Speisen;0.50;19
2025-04-05;18:24;A;7305955;454724;2;Kaffee;Speisen;0.50;19
2025-04-05;18:24;A;7305955;454724;2;Kaffee;Speisen;0.50;19
2025-04-05;18:31;A;16339774;40428;1;Essen;Speisen;5.50;19
2025-04-05;18:58;A;2999285;40437;3;Kuchen;Speisen;1.00;19
2025-04-05;19:05;A;11454183;40556;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-04-05;19:08;A;16098978;40557;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19
2025-04-05;19:15;A;6353759;460336;2;Kaffee;Speisen;0.50;19
2025-04-05;19:16;A;6353759;460336;2;Kaffee;Speisen;0.50;19
2025-04-05;19:35;A;16163833;40478;1;Essen;Speisen;5.50;19
2025-04-05;19:37;A;16407017;483953;4463300210993;Wendehut;Merchendise;10.00;19
2025-04-05;19:37;A;16407017;483953;9990000000000;Direktbuchung;Direktbuchung;1.10;19
2025-04-05;19:38;A;13784702;452447;3;Kuchen;Speisen;1.00;19
2025-04-05;19:38;A;13784702;452447;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-04-05;19:38;A;13784702;452447;4014472279198;"Bionade Himbeer-Plaume 0.33l";Getränke;1.30;19
2025-04-05;19:39;A;16332365;40535;1;Essen;Speisen;5.50;19
2025-04-05;19:39;A;16332365;40535;2;Kaffee;Speisen;0.50;19
2025-04-05;19:39;A;16332365;40535;2;Kaffee;Speisen;0.50;19
2025-04-05;19:39;A;16332365;40535;9990000000000;Direktbuchung;Direktbuchung;0.50;19
2025-04-05;19:44;A;16163833;40478;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-04-05;19:53;A;16381852;444796;1;Essen;Speisen;5.50;19
2025-04-05;19:57;A;16158555;417912;2;Kaffee;Speisen;0.50;19
2025-04-05;19:57;A;16352584;250430;4008948027000;"Jever Pils 0,5l";Bier;1.30;19
2025-04-05;19:58;A;14252568;442234;3;Kuchen;Speisen;1.00;19
2025-04-05;19:58;A;14252568;442234;87126853;"Coca Cola 0.33l";Getränke;1.10;19
2025-04-05;20:03;A;9854787;40488;4002103000013;"Erdinger Weißbier 0.5l";Bier;1.50;19
2025-04-05;20:09;A;16381852;444796;87126860;"Fanta 0,33l";Getränke;1.10;19
2025-04-05;20:09;A;16381852;444796;87126860;"Fanta 0,33l";Getränke;1.10;19
